Input_HuBMAP_ID,Found_CODEX_IDs
HBM235.VKNJ.237,HBM953.LMWQ.235
HBM238.GTNW.259,HBM443.XPDK.549
HBM242.LSCK.393,HBM292.FCMS.497
HBM284.SBPR.357,HBM777.TLQL.487
HBM285.VFDT.966,HBM795.GWKV.825
HBM288.BBKK.828,HBM776.FNRJ.959
HBM295.SWJJ.888,HBM352.MDZF.598
HBM297.MZZX.824,HBM423.MMGW.744
HBM334.QWFV.953,HBM889.KDGM.632
HBM353.NZVQ.793,HBM599.BFHP.494
HBM363.CKHC.928,HBM735.PSTF.274
HBM363.LLBL.252,HBM753.VDXD.934
HBM394.VSKR.883,HBM433.ZLWP.627
HBM395.NQKF.566,HBM423.QJJR.545
HBM424.STVV.842,HBM293.LGZW.236
HBM429.LLRT.546,HBM636.GTZK.259
HBM438.JXJW.249,HBM749.PPQP.849
HBM439.WJDV.974,HBM972.WNBG.933
HBM443.LGZK.435,HBM654.MLRM.725
HBM447.MNKW.592,HBM946.NWTV.278
HBM462.JKCN.863,HBM946.GRVG.379
HBM465.ZNVW.226,HBM396.FNQW.543
HBM466.XSKL.867,HBM995.WMDN.689
HBM473.QGDG.848,HBM959.BVWN.344
HBM488.CNNZ.544,HBM725.QFKT.594
HBM535.QNTP.246,HBM837.RHNC.533
HBM565.LSMX.645,HBM334.RPTP.997
HBM569.NBHZ.832,HBM587.VTDD.789
HBM573.SWGH.988,
HBM573.TTLG.748,HBM685.PCCJ.427
HBM575.THQM.284,HBM538.PGFT.538
HBM622.STKS.394,HBM676.VBCN.445
HBM626.VJMB.795,HBM962.BFPH.344
HBM627.KDHD.293,HBM634.MSKL.575
HBM666.NDQZ.365,HBM629.DBKM.347
HBM666.RBCG.529,HBM564.DSPG.945
HBM676.QVGZ.455,HBM253.MXKW.373
HBM679.NNNK.283,HBM942.WHFC.488
HBM683.NRPR.962,HBM578.XJZQ.389
HBM687.SJLD.889,HBM523.XHWW.384
HBM727.DMKG.675,HBM244.TVNH.734
HBM729.XTBN.693,HBM937.XPRG.696
HBM739.HCWP.359,HBM754.SFBF.894
HBM742.NHHQ.357,HBM996.CGFD.228
HBM749.SMWP.555,HBM398.SWKV.256
HBM772.TKCN.287,HBM475.DXDC.532
HBM785.FJVT.469,HBM953.NPDJ.575
HBM792.FFJT.499,HBM245.NHMB.685
HBM823.RJNG.364,HBM994.KDNT.678
HBM824.XGWZ.857,HBM524.VWGB.378
HBM827.SJBP.777,HBM829.QZQP.626
HBM832.ZSQJ.442,HBM644.QKZS.857
HBM845.VMSZ.536,HBM929.PRKH.522
HBM852.NKST.623,HBM886.NTZN.682
HBM865.VDXC.862,HBM494.VNTQ.422
HBM893.MCGS.487,HBM658.WGPT.978
HBM899.KTQM.246,HBM784.TKZX.992
HBM934.KLGL.584,HBM776.SDCW.837
HBM938.KMNW.825,HBM657.JVPV.825
HBM945.FSHR.864,HBM842.LQDP.877
HBM953.KMTG.758,HBM625.BPDM.987
HBM964.FPNH.767,HBM658.HHLH.689
HBM974.CNWK.327,HBM233.GTZN.466
HBM996.MDQH.988,HBM429.DWKZ.323